EpRewMean,EpThisIter,TimestepsSoFar,EpisodesSoFar,surrgain,optimgain,TimeElapsed,meankl,entloss,ev_tdlam_before,entropy,EpLenMean
164.775,4,693934,7424,0.16156429,0.16156429,1506.3727753162384,0.004976174,0.0,0.3507443070411682,37.08492,164.775
166.85,3,694488,7427,0.16623926,0.16623926,1507.1929290294647,0.004369216,0.0,0.5707481205463409,37.07014,166.85
172.475,2,694958,7429,0.17468342,0.17468342,1508.1231851577759,0.004971851,0.0,0.8329431712627411,37.070194,172.475
177.525,3,695563,7432,0.19565505,0.19565505,1508.8886151313782,0.0044663423,0.0,0.7918631881475449,37.06163,177.525
181.7,3,696094,7435,0.17536739,0.17536739,1509.651780128479,0.0046601063,0.0,0.8915824741125107,37.061024,181.7
186.75,2,696511,7437,0.19297308,0.19297308,1510.4265241622925,0.00463865,0.0,-3.028350830078125,37.056515,186.75
188.85,2,696931,7439,0.19061841,0.19061841,1511.2044651508331,0.004593731,0.0,0.6502758860588074,37.046673,188.85
192.875,2,697395,7441,0.16959813,0.16959813,1512.0762920379639,0.004554253,0.0,0.7877772599458694,37.042587,192.875
194.325,3,697959,7444,0.17062338,0.17062338,1512.9370522499084,0.004904287,0.0,0.6514885425567627,37.03773,194.325
192.575,3,698377,7447,0.16683225,0.16683225,1513.885026216507,0.004476536,0.0,0.3954092860221863,37.03467,192.575
188.875,3,698775,7450,0.18548134,0.18548134,1515.1597621440887,0.004347211,0.0,0.8472665697336197,37.03857,188.875
